match_id,date,home_team,away_team,home_team_id,away_team_id,home_team_elo,away_team_elo
1640850,2023-01-01,Forest,Chelsea,174,15,1624.74621582,1884.15283203
1640851,2023-01-01,Tottenham,Aston Villa,30,24,1872.75830078,1739.26574707
1640852,2022-12-30,West Ham,Brentford,29,189,1762.08483887,1741.4810791
1640853,2022-12-31,Wolves,Man United,161,32,1690.79711914,1853.40637207
1640854,2023-01-03,Arsenal,Newcastle,13,23,1933.80310059,1849.74108887
1640855,2023-01-04,Aston Villa,Wolves,24,161,1756.515625,1685.82519531
1640856,2023-01-02,Brentford,Liverpool,189,26,1754.90686035,2006.17456055
1640857,2023-01-05,Chelsea,Man City,15,167,1878.4642334,2024.3112793
1640858,2023-01-04,Crystal Palace,Tottenham,162,30,1753.3770752,1855.50842285
1640859,2023-01-03,Everton,Brighton,31,211,1695.70874023,1791.11962891
1640860,2023-01-04,Leeds,West Ham,19,29,1712.4128418,1748.65917969
1640861,2023-01-03,Leicester,Fulham,14,170,1769.73034668,1704.48352051
1640862,2023-01-03,Man United,Bournemouth,32,183,1858.37817383,1646.67077637
1640863,2023-01-04,Southampton,Forest,18,174,1657.55554199,1630.43481445
1640864,2023-01-13,Aston Villa,Leeds,24,19,1753.6550293,1712.54797363
1640865,2023-01-14,Brentford,Bournemouth,189,183,1773.81262207,1641.84997559
1640866,2023-01-14,Brighton,Liverpool,211,26,1802.38195801,1987.26879883
1640867,2023-01-15,Chelsea,Crystal Palace,15,162,1862.15380859,1741.02893066
1640868,2023-01-14,Everton,Southampton,31,18,1684.44641113,1648.02294922
1640869,2023-01-14,Man United,Man City,32,167,1863.19897461,2029.39074707
1640870,2023-01-15,Newcastle,Fulham,23,170,1852.98999023,1726.14599609
1640871,2023-01-14,Forest,Leicester,174,14,1639.96740723,1759.29870605
1640872,2023-01-15,Tottenham,Arsenal,30,13,1867.85644531,1930.55419922
1640873,2023-01-14,Wolves,West Ham,161,29,1688.68579102,1748.52404785
1640874,2023-02-25,West Ham,Forest,29,174,1743.25866699,1659.43884277
1640875,2023-03-04,Arsenal,Bournemouth,13,183,1930.42285156,1642.19970703
1640876,2023-01-22,Arsenal,Man United,13,32,1940.83215332,1871.58154297
1640877,2023-03-04,Aston Villa,Crystal Palace,24,162,1750.48327637,1742.17980957
1640878,2023-01-21,Bournemouth,Forest,183,174,1636.02441406,1654.57116699
1640879,2023-03-06,Brentford,Fulham,189,170,1784.34118652,1735.53930664
1640880,2023-01-21,Crystal Palace,Newcastle,162,23,1739.54931641,1857.14648438
1640881,2023-03-04,Brighton,West Ham,211,29,1808.53137207,1753.375
1640882,2023-01-23,Fulham,Tottenham,170,30,1721.98950195,1852.71069336
1640883,2023-03-04,Chelsea,Leeds,15,19,1831.91137695,1692.49694824
1640884,2023-01-22,Leeds,Brentford,19,189,1706.45361328,1779.63818359
1640885,2023-03-05,Liverpool,Man United,26,32,1932.86987305,1887.82336426
1640886,2023-01-21,Leicester,Brighton,14,211,1744.69506836,1823.08959961
1640887,2023-03-04,Man City,Newcastle,167,23,2019.32641602,1833.14758301
1640888,2023-01-21,Liverpool,Chelsea,26,15,1966.56103516,1866.50134277
1640889,2023-03-05,Forest,Everton,174,31,1649.32250977,1666.56237793
1640890,2023-01-22,Man City,Wolves,167,161,2023.00817871,1697.66723633
1640891,2023-03-04,Southampton,Leicester,18,14,1642.01062012,1759.33508301
1640892,2023-01-21,Southampton,Aston Villa,18,24,1657.70007324,1759.74938965
1640893,2023-03-04,Wolves,Tottenham,161,30,1709.65771484,1860.88952637
1640894,2023-01-21,West Ham,Everton,29,31,1739.54260254,1674.76928711
1640895,2023-03-11,Bournemouth,Liverpool,183,26,1645.57971191,1952.59814453
1640896,2023-02-04,Aston Villa,Leicester,24,14,1766.02758789,1745.89892578
1640897,2023-03-11,Crystal Palace,Man City,162,167,1740.62487793,2028.55895996
1640898,2023-02-04,Brentford,Southampton,189,18,1778.53222656,1651.421875
1640899,2023-03-11,Everton,Brentford,31,189,1672.65393066,1794.85424805
1640900,2023-02-04,Brighton,Bournemouth,211,183,1821.88574219,1635.51208496
1640901,2023-03-12,Fulham,Arsenal,170,13,1735.18591309,1937.42175293
1640902,2023-02-03,Chelsea,Fulham,15,170,1870.23779297,1716.51171875
1640903,2023-03-11,Leeds,Brighton,19,211,1693.8581543,1824.61291504
1640904,2023-02-04,Everton,Arsenal,31,13,1666.90844727,1946.2578125
1640905,2023-03-11,Leicester,Chelsea,14,15,1754.78161621,1855.04431152
1640906,2023-02-04,Man United,Crystal Palace,32,162,1866.15588379,1741.8458252
1640907,2023-03-12,Man United,Southampton,32,18,1885.68652344,1656.72375488
1640908,2023-02-04,Newcastle,West Ham,23,29,1854.84997559,1747.40344238
1640909,2023-03-12,Newcastle,Wolves,23,161,1834.0748291,1725.55065918
1640910,2023-02-05,Forest,Leeds,174,19,1655.08349609,1707.55957031
1640911,2023-03-11,Tottenham,Forest,30,174,1847.31555176,1653.39074707
1640912,2023-02-05,Tottenham,Man City,30,167,1858.18847656,2025.63244629
1640913,2023-03-12,West Ham,Aston Villa,29,24,1749.75341797,1762.19787598
1640914,2023-02-04,Wolves,Liverpool,161,26,1695.04309082,1962.82458496
1640915,2023-03-19,Arsenal,Crystal Palace,13,162,1937.35412598,1733.64331055
1640916,2023-02-11,Arsenal,Brentford,13,189,1932.34204102,1785.55432129
1640917,2023-03-18,Aston Villa,Bournemouth,24,183,1764.12695312,1660.16638184
1640918,2023-02-11,Bournemouth,Newcastle,183,23,1632.42712402,1850.87182617
1640919,2023-03-18,Brentford,Leicester,189,14,1794.65979004,1745.71655273
1640920,2023-02-11,Crystal Palace,Brighton,162,211,1737.64416504,1824.97070312
1640921,2023-05-04,Brighton,Man United,211,32,1824.44250488,1857.48254395
